EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,-,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600,-,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,########,AD_ASST,4400,-,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,########,MK_MAN,13000,-,100,20
202,Pat,Fay,PFAY,603.123.6666,########,MK_REP,6000,-,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,07-Jun-02,HR_REP,6500,-,101,40
204,Hermann,Baer,HBAER,515.123.8888,07-Jun-02,PR_REP,10000,-,101,70
205,Shelley,Higgins,SHIGGINS,515.123.9999,07-Jun-02,AC_MGR,12008,-,101,110
206,William,Gietz,WGIETZ,515.123.1212,07-Jun-02,AC_ACCOI,8300,-,205,110
100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,24000,-,-,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,########,AD_VP,17000,-,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,17000,-,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-Jan-06,IT_PROG,9000,-,102,60
104,Bruce,Ernst,BERNST,590.423.4568,########,IT_PROG,6000,-,103,60
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800,-,103,60
106,Valli,Pataballa,VPATABAL,590.423.4570,########,IT_PROG,4800,-,103,60
107,Diana,Lorentz,DLORENTZ,590.423.4571,########,IT_PROG,4200,-,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,########,FI_MGR,12008,-,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,16-Aug-02,FI_ACCOUNT,9000,-,108,100
110,John,Chen,JCHEN,515.124.4269,28-Sep-05,FI_ACCOUNT,8200,-,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-Sep-05,FI_ACCOUNT,7700,-,108,100
112,Jose,Manuel,JMANUEL,515.124.4469,07-Mar-06,FI_ACCOUNT,7800,-,108,100
113,Luis,Popp,LPOPP,515.124.4567,########,FI_ACCOUNT,6900,-,108,100
114,Karen,Partners,KPART,515.124.4667,########,FI_ACCOUNT,7100,-,108,100
